Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Price_range
Culinaria By Pikwik,"North Indian, Chinese, Continental, Thai",1000," Pitampura, New Delhi",4.0,156,3.9,611,https://www.zomato.com/ncr/culinaria-by-pikwik-pitampura-new-delhi,"66, Shakti Vihar, Pitampura, New Delhi",9.1729E+11,28.69405783,77.13062737,"Lahori Chicken, Jeera Rice, Honey Chilli Potato, Paneer Tikka, Pasta, Pizza",Medium(600-100)
Cafe Russmunch,"Fast Food, Desserts, Beverages, Italian",500," Pitampura, New Delhi",4.0,347,4.0,919,https://www.zomato.com/ncr/cafe-russmunch-pitampura-new-delhi,"8, Chanderlok Enclave, Pitampura, New Delhi",9.19812E+11,28.69033678,77.13559885,"Chicken Fried Momos, Cheesecake, Chicken Tikka, Biryani",Low(<600)
Devan's,"Coffee, Tea",300," Lodhi Colony, New Delhi",4.0,52,3.9,146,https://www.zomato.com/ncr/devans-lodhi-colony-new-delhi,"131, Khanna Market, Lodhi Colony, New Delhi",9.11125E+11,28.5799369,77.2219498,"Soya Chaap Masala, Panneer Butter Masala, Oreo Shake, Spring Roll, Mocktails, White Sauce Pasta",Low(<600)
The Reset,"Asian, Italian, North Indian",1200," Rohini, New Delhi",4.0,524,3.7,102,https://www.zomato.com/ncr/the-reset-rohini-new-delhi,"3, Pocket F/19, Sector 8, Rohini, New Delhi",9.11147E+11,28.69976004,77.11832609,"Death by Chocolate, Tiramisu, Lasagna, Pastas, Pizzas, Desserts",High(>1000)
Ego Obsession,"Italian, Pizza, Pasta, Desserts, Beverages",1900," Community Centre, New Friends Colony, New Delhi",4.0,315,4.0,82,https://www.zomato.com/ncr/ego-obsession-new-friends-colony-new-delhi,"4, Community Centre, New Friends Colony, New Delhi",9.11126E+11,28.56233617,77.26844966,"Get a complimentary night, earn up to 50% of spends as points at 250+ restaurants & much more. Know more",High(>1000)
Pasta La Vista,"Italian, Beverages",400," Yusuf Sarai, New Delhi",4.0,745,4.1,8746,https://www.zomato.com/ncr/pasta-la-vista-yusuf-sarai-new-delhi,"S-4, Oriental House, Gulmohar Enclave, Near Kotak Mahindra Bank, Yusuf Sarai, New Delhi",9.19354E+11,28.55773553,77.20802587,"Very Cheap, Desi Vibes, Pocket Friendly, Delivery Time, Value for Money, Chef",Low(<600)
Sehat Cafe,"North Indian, Healthy Food, Fast Food, Beverages",600," Sector 7, Dwarka, New Delhi",4.0,175,4.1,4949,https://www.zomato.com/ncr/sehat-cafe-sector-7-dwarka-new-delhi,"Plot C -708A, Block C, Near Shiksha Bharti School, Palam Extension, Sector 7, Dwarka, New Delhi",9.11146E+11,28.5853125,77.06821337,"Chocolate Truffle Cake, Cakes, Tea, Breads, Chocolate, Desserts",Low(<600)
Sidewalk - Hyatt Regency,"Bakery, Desserts, Fast Food, Beverages",1000," Hyatt Regency, Bhikaji Cama Place, New Delhi",4.0,133,4.0,154,https://www.zomato.com/ncr/sidewalk-hyatt-regency-bhikaji-cama-place-new-delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi",9.11167E+11,28.56940238,77.18599454,"Bhalla Papri, Chaat, Noodle, Spring Roll, Burger, Momos",Medium(600-100)
Chinu Chaat Bhandar,"North Indian, Chinese, Rolls",300," Tagore Garden, New Delhi",4.0,182,4.3,915,https://www.zomato.com/ncr/chinu-chaat-bhandar-tagore-garden-new-delhi,"Shop 533, Tagore Garden, New Delhi",9.19971E+11,28.64921196,77.11608008,"Elaborate Menu, Customizable Food, Fresh Food, Good Quality, Price, Service",Low(<600)
Chawla Family Restaurant,"North Indian, Chinese, Mughlai, Rolls, Fast Food",750," Rajouri Garden, New Delhi",4.0,463,4.0,11300,https://www.zomato.com/ncr/chawla-family-restaurant-rajouri-garden-new-delhi,"G-1, 3, 4, 8, 10, 11 Plot 3, Vardhaman Plaza, Rajouri Garden, New Delhi",9.19811E+11,28.63870511,77.12019157,"Baked Pasta, Drums of Heaven, Peri Peri Fries, Chilli Garlic Noodles, Nachos, Sandwiches",Medium(600-100)
China Fare,"Chinese, Seafood",1000," Khan Market, New Delhi",4.0,470,3.9,37,https://www.zomato.com/ncr/china-fare-khan-market-new-delhi,"Shop 48, Prithvi Raj Market, Khan Market, New Delhi",9.19812E+11,28.60060058,77.22584579,"Kadhai Paneer, Chicken Biryani, Drinks, Dal Makhani, Butter Chicken, Starters",Medium(600-100)
O2   Multicuisine Restaurant,"Finger Food, Chinese, North Indian, Mughlai",1400," Pitampura, New Delhi",4.0,318,4.1,562,https://www.zomato.com/ncr/o2-multicuisine-restaurant-pitampura-new-delhi,"23 A, NN Tower, Block B, Road 44, Pitampura, New Delhi",9.199E+11,28.68830502,77.13503357,"Mushroom Patty, Chocolate Truffle Cake, Pastries, Cakes, Sandwiches, Burgers",High(>1000)
Kandy's Pastry Parlour,"Bakery, Desserts, Fast Food",400," Kalkaji, New Delhi",4.0,317,4.2,1828,https://www.zomato.com/ncr/kandys-pastry-parlour-kalkaji-new-delhi,"B 30/B, Near B Block, Kalkaji, New Delhi",9.17838E+11,28.54300112,77.25302663,"Chicken Salami Sandwich, Peri Fries, Iced Tea, Burgers, Sandwiches",Low(<600)
Grill Masters,"Burger, Sandwich, Fast Food, Beverages",300," Rohini, New Delhi",4.0,289,4.2,2349,https://www.zomato.com/ncr/grill-masters-rohini-new-delhi,"Plot 146, Ground Floor, Pocket 17, Near Best Mega Mall, Sector 24, Rohini",9.18506E+11,28.72643208,77.09479172,"Kadhi Pakora, Chana Masala, Panneer Butter Masala, Palak Paneer, Kheer, Daal Makhani",Low(<600)
