Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2
The Pasta Bowl Company,"Italian, Fast Food, Pizza, Pasta",1300," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,1479,4.2,692,https://www.zomato.com/ncr/the-pasta-bowl-company-dlf-phase-4,"GL 201, Floor 2, Cross Point Mall, DLF Phase 4, Gurgaon",9.11E+11,28.4682825,77.0833374,"Tortellini Puttanesca, Parma Ham Salad, Chicken Breast Sandwich, Spinach Ravioli, Ravioli Pasta, Orange Mojito"
Nando's,"Portuguese, Roast Chicken, Burger, Wraps, Salad",800," Ambience Mall, DLF Phase 3, Gurgaon",4.6,969,4,269,https://www.zomato.com/ncr/nandos-1-dlf-phase-3,"3rd Floor, Ambience Mall, Gurgaon - Delhi Expressway, DLF Phase 3, Gurgaon",9.19E+11,28.50239226,77.09723622,"Grill Chicken, Peri Peri Chicken, Hummus Pita, Peri Peri Sauce, Cheesecake, Chocolate Cake"
Cafe Parmesan,"Italian, Pizza, Beverages",1800," Sector 15, Faridabad",4.6,1477,4.1,1257,https://www.zomato.com/ncr/cafe-parmesan-sector-15-faridabad,"SCF-42, 1st Floor, HUDA Market, Sector 15, Faridabad",9.20E+11,28.39523789,77.32358616,"Bacon Panini, Chocolate Torte, Belgian Choco Shake, Veg Panini, Ravioli, Chicken Lasagna"
Wafflesome,"Desserts, Beverages",500," Greater Kailash 1 (GK1), New Delhi",4.6,1500,4.2,2615,https://www.zomato.com/ncr/wafflesome-greater-kailash-gk-1-new-delhi,"M-33, Near M Block Market, Greater Kailash (GK) 1, New Delhi",9.11E+11,28.55138919,77.23450698,"Brownie Nutella Waffles, Choco Waffle, Mango Waffle, Banana Toffee, Ice Cream Strawberry, Strawberry Waffle"
Green House - The Beer Garden,"Continental, Tex-Mex, Mediterranean, North Indian, Asian",1500," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.6,1452,3.6,116,https://www.zomato.com/ncr/green-house-the-beer-garden-sector-49,"Food Court 3, Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",9.20E+11,28.41299641,77.05507357,"Herbed Potato Wedges, Veg Ceaser Salad, Cheese Corn Nuggets, Spaghetti Bolognese, Wheat Beer, Chocolate Lava Cake"
Big Wong,"Asian, Thai, Sushi, Pok̩, Chinese",1000," Sector 110, Noida",4.6,952,4.2,4540,https://www.zomato.com/ncr/big-wong-sector-110-noida,"The Starling Retail, Sector 104, Sector 110, Noida",9.20E+11,28.54200385,77.37022039,Assorted range of authentic Pan Asian food served in a cozy setting
The Hook,"Seafood, Continental, North Indian",1800," Sector 29, Gurgaon",4.6,2285,3.8,332,https://www.zomato.com/ncr/the-hook-sector-29,"SCO 30, Leisure Valley Road, Sector 29, Gurgaon",9.20E+11,28.46873698,77.06324726,"Rusty Nail, Liit Cocktail, Soya Masala Chaap, Butter Garlic Prawns, Brewed Beer, Sea Food"
Rahul Eggs,"Fast Food, Healthy Food, Street Food, North Indian",350," Lawrence Road, New Delhi",4.6,1081,4.1,639,https://www.zomato.com/ncr/rahul-eggs-lawrence-road-new-delhi,"B-4/300 A, Main Road, Near Keshavpuram Metro Station, Lawrence Road, New Delhi",9.20E+11,28.68817914,77.16166724,"Tandoori Jalandhari, Chicken Jalandhari, Eggs, Omelette"
"Colocal ""The Cacao Artisans""","Cafe, Desserts, Continental, Coffee, Italian, Beverages",1000," Chhatarpur, New Delhi",4.5,571,4.3,207,https://www.zomato.com/ncr/colocal-the-cacao-artisans-chhatarpur-new-delhi,"100 Feet Road, The Dhan Mill Compound, Chhatarpur, New Delhi",9.19E+11,28.50464918,77.18510471,"Zucchini Fries, Garden Salad, Veg Tacos, Hot Chocolate, Bruschetta, Sangria"
Farzi Cafe,"Mughlai, Finger Food, North Indian, Beverages",2200," Connaught Place, New Delhi",4.5,4355,3.9,70,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi,"38/39, Block E, Inner Circle, Connaught Place, New Delhi",9.20E+11,28.63248048,77.22119015,Modernized presentation of dishes with an elegant decor
Sly Granny,"Continental, American, Italian, European, Mexican, Desserts",1800," Khan Market, New Delhi",4.5,992,4.2,431,https://www.zomato.com/ncr/sly-granny-khan-market-new-delhi,"Flat 4, 1st - 2nd Floor, Khan Market, New Delhi",9.11E+11,28.5998944,77.22585484,"Biscuits and Gravy, Barley Salad, Tamarind Chicken, Lamb Bolognaise, Babaganush, Apple Crumble"
Monkey Bar,"Pizza, Burger, Continental, Chinese, Fast Food, Beverages",2200," Vasant Kunj, New Delhi",4.5,4581,4.3,1806,https://www.zomato.com/ncr/monkey-bar-vasant-kunj-new-delhi,"Plot 11, Upper Ground Floor, Pocket C-6 & 7, LSC, Vasant Kunj, New Delhi",9.11E+11,28.53656552,77.1476547,Terrace Seating Ambiance And Good Range Of Alcohol - Below 25 years of age not allowed after 6 pm
ABB - Andrea's Bar & Brasserie,"Italian, Asian, European, Sushi, Thai, Salad, Pizza, Beverages",2000," Khan Market, New Delhi",4.5,643,4.3,750,https://www.zomato.com/ncr/abb-andreas-bar-brasserie-khan-market-new-delhi,"Shop 12, Middle Lane, Khan Market, New Delhi",9.19E+11,28.59990352,77.22647242,"Avocado Roll, Chocolate Dome, New Zealand Lamb Chops, Roasted Vegetables, Kafir Lime, New York Cheesecake"
Perch Wine & Coffee Bar,"Beverages, European, Continental",2000," Khan Market, New Delhi",4.5,1424,4.3,151,https://www.zomato.com/ncr/perch-wine-coffee-bar-khan-market-new-delhi,"71, 1st Floor, Khan Market, New Delhi",9.18E+11,28.5998317,77.22619817,"Double Chocolate Mousse, Coffee Bar, Potato Gnocchi, Mango Sorbet, Mulled Wine, Chicken Sub"
Triveni Terrace Cafe,"Street Food, Desserts, Beverages",400," Mandi House, New Delhi",4.5,2004,4.2,454,https://www.zomato.com/ncr/triveni-terrace-cafe-mandi-house-new-delhi,"205 Tansenmarg, Mandi House, New Delhi",9.20E+11,28.627275,77.232382,"Masala Cheese Toast, Coconut Curry Chicken, Pohaa, Ragi Idli, Paalak Patta Chaat, Gun Powder Idli"
Mamagoto,"Asian, Chinese, Sushi, Desserts",1000," Select Citywalk Mall, Saket, New Delhi",4.5,2422,4.1,3107,https://www.zomato.com/ncr/mamagoto-saket-new-delhi,"S-9, 2nd Floor, Select Citywalk Mall, Saket, New Delhi",9.11E+11,28.52873919,77.21961133,"Spicy Calamari, Spicy Bangkok Bowl, Kiwi Mint Cooler, Nutella Crunch, Spicy Ramen, Rock Shrimp Tempura"
The Potbelly,"Bihari, Fast Food, Beverages",1000," Chanakyapuri, New Delhi",4.5,1183,4.2,395,https://www.zomato.com/ncr/the-potbelly-chanakyapuri-new-delhi,"Plot 15, Bihar Niwas, Behind Yashwant Place, Chanakyapuri, New Delhi",9.20E+11,28.58379835,77.18785398,"Dalpitti, Maithili Thali, Pudina Chicken Pulao, Tomato Chokha, Bhojpuri Thali, Madhubani Thali"
