Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2
China Garden,Chinese,2400," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.2,962,3.9,236,https://www.zomato.com/ncr/china-garden-greater-kailash-gk-2-new-delhi,"M 73, M Block Market, Greater Kailash (GK) 2, New Delhi",9.19812E+11,28.53284212,77.24330563,"Aromatic Honey Chicken, Soya Wine Fish, Sapo Chicken, Hakka Chowmein, Date Pancakes, Crispy Lotus Stem"
Ganesh Restaurant,"North Indian, Mughlai, Rolls",400," Karol Bagh, New Delhi",4.2,898,4.0,5528,https://www.zomato.com/ncr/ganesh-restaurant-karol-bagh-new-delhi,"2298, Gurudwara Road Chowk, Karol Bagh, New Delhi",9.1981E+11,28.64844225,77.19278622,"Egg Pakora, Fish Pakoda, Tandoori Chicken Tikka, Chicken Afghani, Fish Fry, Chicken Fry"
Yangkiez - Momos & More,"Chinese, Momos",400," Baani Square, Sector 50, Gurgaon",4.2,185,3.7,1032,https://www.zomato.com/ncr/yangkiez-momos-more-sector-50,"Shop 6, Ground Floor, Baani Square, Sector 50, Gurgaon",9.19318E+11,28.42554762,77.05775376,"Wheat Momo, Fried Chicken Wings, Manchurian Noodles, Chicken Momo, Spring Rolls, Chilli Potato"
Sushiya,"Sushi, Rolls, Japanese",800," Select Citywalk Mall, Saket, New Delhi",4.2,857,4.0,11700,https://www.zomato.com/ncr/sushiya-saket-new-delhi,"1st Floor, Select Citywalk Mall, Saket, New Delhi",9.19312E+11,28.52872564,77.21963044,"Maki, California Roll, Sashimi, Miso Soup, Sushi Rolls, Salmon Sushi"
Burger Point,"Fast Food, Burger, Beverages",300," Sector 15, Gurgaon",4.2,446,4.2,1700,https://www.zomato.com/ncr/burger-point-1-sector-15,"108, Part 2, Sector 15, Gurgaon",9.11244E+11,28.45867813,77.0436829,"Maharaja Supreme Burger, Cheese Sandwich, Wraps, Veg Burger, Sandwiches, French Fries"
RYU Bar,"Chinese, Thai, Asian, Bar Food, Desserts",2500,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.1,331,4.2,200,https://www.zomato.com/ncr/ryu-bar-sector-15,"Plot 27, 32nd Avenue, Part 2, National Highway 8, Sector 15, Gurgaon",9.1981E+11,28.4619149,77.0502437,Euphoric Nightlife Experience with a Rooftop Bar and Pan-asian and Oriental Dining
Kylin Experience,"Asian, Chinese, Thai, Japanese, Malaysian, Vietnamese",1800," Ambience Mall, Vasant Kunj, New Delhi",4.1,1311,4.2,1413,https://www.zomato.com/ncr/kylin-experience-vasant-kunj-new-delhi,"T-302, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi",9.19872E+11,28.54106047,77.15511058,"Re-invented with luxurious ambience, new scrumptious Pan Asian dishes and exciting cocktails on the menu."
The Forestta,"North Indian, Chinese, Italian",1000," Sector 54, Gurgaon",4.1,1552,3.4,823,https://www.zomato.com/ncr/the-forestta-sector-54,"Plot 27, Saraswati Kunj, Suncity, Opposite Alchemist Hospital, Sector 54, Gurgaon",9.19818E+11,28.439295,77.103987,"Fried Icecream, Murgh Malai Tikka, Veg Sweet Corn Soup, Veg Spring Rolls, Drums of Heaven, Chicken Manchow Soup"
Unlocked - Bar.Kitchen.Escape Room,"European, American, Italian, Continental, Desserts, Beverages",1600,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.1,324,2.9,16,https://www.zomato.com/ncr/unlocked-barkitchenescape-room-sector-15,"Unit 3, Ground Floor, 32nd Avenue, NH 8, Part 2, Sector 15, Gurgaon",011 71565092,28.46162806,77.04988886,"A restaurant offering a unique dining experience with authentic European dishes, a collection of Board Games and an Escape room."
Invitation,"North Indian, Mughlai, Chinese",1300," Ashok Vihar Phase 2, New Delhi",4.1,741,3.8,142,https://www.zomato.com/ncr/invitation-ashok-vihar-phase-2-new-delhi,"3, Community Centre, Ashok Vihar Phase 2, New Delhi",9.11127E+11,28.69641533,77.17943855,"Paneer Birbali, Tomato Soup, Butter Chicken, Dal Makhani, Kadhai Paneer, Shahi Paneer"
Cafe Soul Garden,"Cafe, Continental, Italian, Pizza",1300," DLF Phase 4, Gurgaon",4.1,830,3.6,161,https://www.zomato.com/ncr/cafe-soul-garden-dlf-phase-4,"Near Supermart 2, DLF Phase 4, Gurgaon",9.17702E+11,28.46161539,77.08880804,"Chicken Thai Curry, Iced Lemon Tea, Pizza Alle Verdure, Veggie Delight, Stroganoff, Chicken Shawarama"
Guftagu Cafe,"Cafe, Continental, Italian",800," DLF Phase 2, Gurgaon",4.1,461,3.9,42,https://www.zomato.com/ncr/guftagu-cafe-dlf-phase-2,"Main Road, Opposite DLF City Court, DLF Phase 2, Gurgaon",9.1931E+11,28.48437144,77.09428947,"Chicken Crostini, Blackberry Mojito, Butter Maggi, Peri Fries, Masala Tea, Hot Coffee"
Cha Bar,"Cafe, Fast Food, Desserts, Biryani, Italian, Sandwich",600," Connaught Place, New Delhi",4.1,5269,3.9,59,https://www.zomato.com/ncr/cha-bar-connaught-place-new-delhi,"N-81, Oxford Bookstore, Connaught Place, New Delhi",9.19911E+11,28.63134604,77.22181208,"Passion Fruit Ice Tea, Cardamom Tea, Bun Tikki, Earl Grey Tea, Rose Tea, Smoked Chicken Pasta"
Baba's,"North Indian, Mughlai, Kebab",1000," Golf Course Road, Gurgaon",4.1,1045,4.1,10400,https://www.zomato.com/ncr/babas-golf-course-road,"Opposite Metro Pillar 200, Sector 53, Golf Course Road, Gurgaon",9.1917E+11,28.43400369,77.10436989,"Lemon Mushroom, Baba Butter Chicken, Reshmi Chicken, Hari Mirch Paratha, Masala Cola, Tangdi Chicken"
Tesoro Mio,"Continental, Chinese, Italian, Fast Food, North Indian, Mughlai, Tex-Mex, Beverages",1500," Preet Vihar, New Delhi",4.1,1011,4.0,352,https://www.zomato.com/ncr/tesoro-mio-preet-vihar-new-delhi,"G-13, Top Floor, Opposite Metro Pillar 106, Vikas Marg, Preet Vihar, New Delhi",9.19811E+11,28.64364118,77.29847465,Family place with cosy ambiance and good Continental food
Little Attock,"Modern Indian, Continental, Street Food, Desserts, Beverages",1500," Okhla Phase 3, New Delhi",4.1,168,4.0,176,https://www.zomato.com/ncr/little-attock-okhla-phase-3-new-delhi,"F 95, Modi Mills, Okhla Phase 3, New Delhi",9.11145E+11,28.55059403,77.27125961,"Slow-cooked in copper utensils, unprocessed seasonal ingredients, and traditional practices of undivided India, make for an immersive food experience of a slow life so we can again relive the joys of nutritious, healthy, and gratifying food."
Not Just Paranthas,"North Indian, Kebab, Beverages, Mughlai",1100," Cyber Hub, DLF Cyber City, Gurgaon",4.1,2027,3.8,116,https://www.zomato.com/ncr/not-just-paranthas-dlf-cyber-city,"Shop 108, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon",9.19972E+11,28.49513857,77.088685,"Pan Pizza Parantha, Sharabi Parantha, Churchur Paratha, Amritsari Parantha, Mutton Parantha, Dal Parantha"
Dhaba - A Punjabi Theme,"North Indian, Chinese, Kebab",2000," Rajouri Garden, New Delhi",4.1,1324,3.9,5052,https://www.zomato.com/ncr/dhaba-a-punjabi-theme-rajouri-garden-new-delhi,"A-5, Vishal Enclave, Rajouri Garden, New Delhi",9.19891E+11,28.64766224,77.11925581,"Murgh Rara, Fish Platter, Palak Panner, Tangdi Kabab, Authentic Punjabi Food, Mushroom Masala"
Plats,"European, Fast Food, Beverages, Bakery",2000," Malviya Nagar, New Delhi",4.1,163,4.4,136,https://www.zomato.com/ncr/plats-1-malviya-nagar-new-delhi,"C 51, Ground Floor, Shivalik, Malviya Nagar, New Delhi",9.11142E+11,28.53904,77.212147,"Family Crowd, Elaborate Menu, Good Music, Amazing Food, Amazing Place, Customizable Food"
Aatithyam,"South Indian, North Indian, Chinese",850," Hajipur, Noida",4.1,255,3.9,315,https://www.zomato.com/ncr/aatithyam-hajipur,"HA 102, 1st Floor, Sector 104, Near Hajipur, Noida",9.188E+11,28.53999396,77.36669865,"Outside Seating, South Indian Food, Weekend Brunch, Elaborate Menu, Portion Size, Wonderful Presentation"
Rajdhani,"Gujarati, Rajasthani, North Indian",1100," Connaught Place, New Delhi",4.1,2073,3.9,2351,https://www.zomato.com/ncr/rajdhani-connaught-place-new-delhi,"9 A, Atmaram Mansion, Scindia House, Connaught Place, New Delhi",9.11144E+11,28.63009682,77.22044885,"Strawberry Halwa, Misi Roti, Ker Sangri, Rajasthani Thaali, Gujarati Thali, Dal Baati"
Chawla's Tandoori Junction,"North Indian, Mughlai, Chinese, Biryani",800," Karkardooma, New Delhi",4.1,612,4.0,7680,https://www.zomato.com/ncr/chawlas-tandoori-junction-karkardooma-new-delhi,"G-3, Pankaj Plaza 2, Community Center, Karkardooma, New Delhi",9.11122E+11,28.64803651,77.30307765,"Rajma Masala, Tawa Chaap, Chicken Malai Tikka, Tandoori Chicken, Spring Roll, Garlic Naan"
World Cafe - Vibe By The LaLiT Traveller,"North Indian, Continental, Chinese, Fast Food, Beverages, Desserts",1500," Vibe by The LaLit Traveller, Mathura Road, Faridabad",4.1,302,4.3,145,https://www.zomato.com/ncr/world-cafe-vibe-by-the-lalit-traveller-sector-35-faridabad,"Vibe by The Lalit Traveller, 12/7, Sector 35, Faridabad",9.11294E+11,28.47256285,77.3062725,"Panneer Butter Masala, Buffet, Mocktails, Dal Makhni, Pasta, Starters"
Sandhouse Café,"Continental, Pizza, Burger, Fast Food, Beverages",1000,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.1,397,4.2,382,https://www.zomato.com/ncr/sandhouse-caf-sector-15,"Unit 11, Ground Floor, 32nd Avenue, Sector 15, Gurgaon",9.19999E+11,28.46157648,77.05043267,"Choco Milkshake, Nutty Caramel Shake, Garden Pizza, Peri Peri Fries, Mocha, Onion Rings"
Rebound Cafe And Lounge,"North Indian, Continental, Chinese, Mughlai",1200," Raj Nagar, Ghaziabad",4.1,161,3.9,16,https://www.zomato.com/ncr/rebound-cafe-and-lounge-raj-nagar-ghaziabad,"D3, 4 & 5, 1st Floor, RDC, Opposite BSNL Telephone Exchange, Raj Nagar, Ghaziabad",9.17304E+11,28.67517,77.44155,"Sanitised Service, Best Staff, Served Quickly, Fantastic Decoration, Clean and Hygienic Place, Very Affordable"
Nizam's Kathi Kabab,"North Indian, Mughlai, Rolls, Beverages",250," Connaught Place, New Delhi",4.1,2515,4.2,1733,https://www.zomato.com/ncr/nizams-kathi-kabab-connaught-place-new-delhi,"H-5/6, Plaza Building, Connaught Place, New Delhi",9.11124E+11,28.63497238,77.21947018,"Kadak Chicken Tikka, Nimbu Pani, Kathi Rolls, Seekh Roll, Firni, Chicken Roll"
Dough & Cream,"Bakery, Fast Food, Beverages, Desserts",400," Subhash Nagar, New Delhi",4.1,409,4.3,967,https://www.zomato.com/ncr/dough-cream-subhash-nagar-new-delhi,"Shop 6 - 8, Ground Floor, Property 9/64, Subhash Nagar, New Delhi",9.11146E+11,28.63652875,77.11866137,"Clean and Hygienic Place, Served Quickly, Best Staff, Sanitised Service, Decoration, Great Veg Options"
Kaleva,"Mithai, Fast Food, Street Food, North Indian",350," Gole Market, New Delhi",4.1,499,4.2,7477,https://www.zomato.com/ncr/kaleva-gole-market-new-delhi,"109, Bangla Saheb Marg, Gole Market, New Delhi",9.17982E+11,28.63326237,77.20850665,"Kesar Jalebi, Paneer Pakora, Kalakand, Dhokla, Rasmalai, Raj Kachori"
Kuch Bhi Chalega,"Chinese, Fast Food, Street Food, Momos, Beverages",600," Janakpuri, New Delhi",4.1,207,4.0,272,https://www.zomato.com/ncr/kuch-bhi-chalega-janakpuri-new-delhi,"C 4B/303A, Near Surajmal Institute, Janakpuri, New Delhi",9.19872E+11,28.61871307,77.09177524,"Bubblegum Shake, Kurkure Momo, Veg Spring Roll, Mixed Sauce Pasta, Paneer Momos, Noodle"
Cafe Walias - Bistro & Bakery,"Cafe, Finger Food, Chinese, Fast Food, Beverages, Pasta",500," Karkardooma, New Delhi",4.1,186,4.2,203,https://www.zomato.com/ncr/cafe-walias-bistro-bakery-karkardooma-new-delhi,"120, Ground Floor, Hargobind Enclave, Karkardooma, New Delhi",9.18369E+11,28.64832485,77.3018207,"Good Service N Hygienic Food, Great Food Great Service, Variety of Pizza, Nice Concept, Beautiful Place, Good Music"
Kill The Bill,"North Indian, Chinese, Continental, Italian, Fast Food",1200," Connaught Place, New Delhi",4.1,1335,4.1,397,https://www.zomato.com/ncr/kill-the-bill-connaught-place-new-delhi,"F-14/15, 1st Floor, Middle Circle, Connaught Place, New Delhi",9.1114E+11,28.63080516,77.22078279,"Chocolate Dream, Butter Popcorn, Vegetable Club Sandwich, Jager Bomb, Kurkure Paneer, Tandoori Non Veg Platter"
Lebanese Point,"Lebanese, Rolls",500," PVR Anupam Complex, Saket, New Delhi",4.1,529,4.2,3607,https://www.zomato.com/ncr/lebanese-point-saket-new-delhi,"Shop 7, Ground Floor, PVR Anupam Shopping Complex, Saket, New Delhi",9.11142E+11,28.52346122,77.20720526,"Lebanese Chicken, Chicken Shawarama, Grill Chicken, Chicken Platter, Shawarma, Hummus"
The Société,"North Indian, Continental, Chinese, Fast Food, Bar Food, European, Pizza, Beverages",1500," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.1,320,4.2,123,https://www.zomato.com/ncr/the-socit-sector-49,"Second Floor, Commercial Complex, Eros City Square Mall, Sector 49, Gurgaon",011 61495445,28.41302502,77.05501925,"Decor is Excellent, Good Food and Good Service, Music and Ambience, Service is Great, Amazing Decor, Live Band"
Fifth Avenue Bakery & Cafe,"Bakery, Cafe, Desserts, Fast Food, Italian",1000,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.1,294,4.0,412,https://www.zomato.com/ncr/fifth-avenue-bakery-cafe-sector-15,"32nd Avenue, Sector 15, Gurgaon",9.17982E+11,28.46161244,77.05023017,"Salted Caramel Pastry, Blueberry Cheese Cake, Cupcakes, Cappuccino, Pastries, Deserts"
Culina 44 - Taj City Centre Gurugram,"North Indian, Asian, Thai, Continental, Beverages",3500," Taj City Centre Gurugram, Sector 44, Gurgaon, Gurgaon",4.1,484,3.9,36,https://www.zomato.com/ncr/culina-44-taj-city-centre-gurugram-sector-44,"Near HUDA City Center Metro Station, Sector 44, Gurgaon",9.1974E+11,28.45514388,77.07054522,"Get a complimentary night, earn up to 50% of spends as points at 250+ restaurants & much more. Know more"
